0,6,8,1
0,657,666,1
1,11,14,1
1,30,45,1
1,48,50,1
1,93,94,1
1,106,107,1
1,377,381,1
1,456,460,1
1,464,469,1
1,476,482,1
1,535,538,1
1,600,604,1
1,613,618,1
1,662,666,1
1,730,736,1
1,826,833,1
1,1106,1112,1
1,1177,1196,1
1,1199,1203,1
1,1217,1220,1
1,1225,1228,1
1,1246,1252,1
1,1275,1282,1
1,1368,1373,1
1,1387,1392,1
8,616,623,1
8,1391,1395,1
9,32,33,1
9,49,66,1
9,111,281,1
10,18,47,1
10,68,187,1
11,398,406,1
11,1150,1156,1
13,444,454,1
13,470,475,1
13,551,556,1
13,559,565,1
13,569,575,1
13,583,589,1
13,1212,1215,1
13,1231,1244,1
13,1319,1325,1
13,1328,1332,1
13,1363,1365,1
14,90,91,1
14,419,421,1
15,18,42,1
16,35,42,1
16,675,690,1
17,52,64,1
17,70,74,1
17,423,428,1
17,460,463,1
17,703,716,1
17,1196,1198,1
18,77,86,1
18,718,724,1
19,109,373,1
19,545,598,1
19,738,824,1
19,836,1105,1
19,1283,1319,1
19,1334,1362,1
20,439,443,1
20,1205,1208,1
21,482,531,1
21,1252,1258,1
21,1271,1274,1
22,607,613,1
22,1374,1380,1
23,609,611,1
23,1377,1378,1
24,1275,1276,1
